EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
1595,42,0,Travel_Rarely,1059,Research & Development,9,College,Other,Male,93,5,Manager,Very High,Single,19613,26362,8,Yes,No,22,Outstanding,Very High,24,2,3,1,0,0
1596,35,0,Travel_Rarely,750,Research & Development,28,Bachelor,Life Sciences,Male,46,2,Laboratory Technician,High,Married,3407,25348,1,Yes,No,17,Excellent,Very High,10,3,2,10,9,6
1597,34,0,Travel_Frequently,653,Research & Development,10,Master,Technical Degree,Male,92,2,Healthcare Representative,High,Married,5063,15332,1,Yes,No,14,Excellent,Medium,8,3,2,8,2,7
1598,40,0,Travel_Rarely,118,Sales,14,College,Life Sciences,Female,84,2,Sales Executive,Low,Married,4639,11262,1,Yes,No,15,Excellent,High,5,2,3,5,4,1
1599,43,0,Travel_Rarely,990,Research & Development,27,Bachelor,Technical Degree,Male,87,1,Laboratory Technician,Medium,Divorced,4876,5855,5,Yes,No,12,Excellent,High,8,0,3,6,4,0
1601,35,0,Travel_Rarely,1349,Research & Development,7,College,Life Sciences,Male,63,1,Laboratory Technician,Very High,Married,2690,7713,1,Yes,No,18,Excellent,Very High,1,5,2,1,0,0
1602,46,0,Travel_Rarely,563,Sales,1,Master,Life Sciences,Male,56,4,Manager,Low,Single,17567,3156,1,Yes,No,15,Excellent,Medium,27,5,1,26,0,0
1604,28,1,Travel_Rarely,329,Research & Development,24,Bachelor,Medical,Male,51,1,Laboratory Technician,Medium,Married,2408,7324,1,Yes,Yes,17,Excellent,High,1,3,3,1,1,0
1605,22,0,Non-Travel,457,Research & Development,26,College,Other,Female,85,1,Research Scientist,High,Married,2814,10293,1,Yes,Yes,14,Excellent,Medium,4,2,2,4,2,1
1606,50,0,Travel_Frequently,1234,Research & Development,20,Doctor,Medical,Male,41,4,Healthcare Representative,High,Married,11245,20689,2,Yes,Yes,15,Excellent,High,32,3,3,30,8,12
1607,32,0,Travel_Rarely,634,Research & Development,5,Master,Other,Female,35,1,Research Scientist,Very High,Married,3312,18783,3,Yes,No,17,Excellent,Very High,6,3,3,3,2,0
1608,44,0,Travel_Rarely,1313,Research & Development,7,Bachelor,Medical,Female,31,5,Research Director,Very High,Divorced,19049,3549,0,Yes,Yes,14,Excellent,Very High,23,4,2,22,7,1
1609,30,0,Travel_Rarely,241,Research & Development,7,Bachelor,Medical,Male,48,1,Research Scientist,Medium,Married,2141,5348,1,Yes,No,12,Excellent,Medium,6,3,2,6,4,1
1611,45,0,Travel_Rarely,1015,Research & Development,5,Doctor,Medical,Female,50,2,Laboratory Technician,Low,Single,5769,23447,1,Yes,Yes,14,Excellent,Low,10,3,3,10,7,1
1612,45,0,Non-Travel,336,Sales,26,Bachelor,Marketing,Male,52,2,Sales Executive,Low,Married,4385,24162,1,Yes,No,15,Excellent,Low,10,2,3,10,7,4
1613,31,0,Travel_Frequently,715,Sales,2,Master,Other,Male,54,2,Sales Executive,Low,Single,5332,21602,7,Yes,No,13,Excellent,Very High,10,3,3,5,2,0
1614,36,0,Travel_Rarely,559,Research & Development,12,Master,Life Sciences,Female,76,2,Manufacturing Director,High,Married,4663,12421,9,Yes,Yes,12,Excellent,Medium,7,2,3,3,2,1
1615,34,0,Travel_Frequently,426,Research & Development,10,Master,Life Sciences,Male,42,2,Manufacturing Director,Very High,Divorced,4724,17000,1,Yes,No,13,Excellent,Low,9,3,3,9,7,7
1617,49,0,Travel_Rarely,722,Research & Development,25,Master,Life Sciences,Female,84,1,Laboratory Technician,Low,Married,3211,22102,1,Yes,No,14,Excellent,Very High,10,3,2,9,6,1
1618,39,0,Travel_Rarely,1387,Research & Development,10,Doctor,Medical,Male,76,2,Manufacturing Director,Low,Married,5377,3835,2,Yes,No,13,Excellent,Very High,10,3,3,7,7,7
1619,27,0,Travel_Rarely,1302,Research & Development,19,Bachelor,Other,Male,67,1,Laboratory Technician,Low,Divorced,4066,16290,1,Yes,No,11,Excellent,Low,7,3,3,7,7,0
1621,35,0,Travel_Rarely,819,Research & Development,18,Doctor,Life Sciences,Male,48,2,Research Scientist,Low,Married,5208,26312,1,Yes,No,11,Excellent,Very High,16,2,3,16,15,1
1622,28,0,Travel_Rarely,580,Research & Development,27,Bachelor,Medical,Female,39,2,Manufacturing Director,Low,Divorced,4877,20460,0,Yes,No,21,Outstanding,Medium,6,5,2,5,3,0
1623,21,0,Travel_Rarely,546,Research & Development,5,Below College,Medical,Male,97,1,Research Scientist,Very High,Single,3117,26009,1,Yes,No,18,Excellent,High,3,2,3,2,2,2
1624,18,1,Travel_Frequently,544,Sales,3,College,Medical,Female,70,1,Sales Representative,Very High,Single,1569,18420,1,Yes,Yes,12,Excellent,High,0,2,4,0,0,0
1625,47,0,Travel_Rarely,1176,Human Resources,26,Master,Life Sciences,Female,98,5,Manager,High,Married,19658,5220,3,Yes,No,11,Excellent,High,27,2,3,5,2,1
1627,39,0,Travel_Rarely,170,Research & Development,3,College,Medical,Male,76,2,Laboratory Technician,High,Divorced,3069,10302,0,Yes,No,15,Excellent,Very High,11,3,3,10,8,0
1628,40,0,Travel_Rarely,884,Research & Development,15,Bachelor,Life Sciences,Female,80,3,Manufacturing Director,High,Married,10435,25800,1,Yes,No,13,Excellent,Very High,18,2,3,18,15,14
1630,35,0,Non-Travel,208,Research & Development,8,Master,Life Sciences,Female,52,2,Healthcare Representative,High,Married,4148,12250,1,Yes,No,12,Excellent,Very High,15,5,3,14,11,2
1631,37,0,Travel_Rarely,671,Research & Development,19,Bachelor,Life Sciences,Male,85,2,Manufacturing Director,High,Married,5768,26493,3,Yes,No,17,Excellent,Low,9,2,2,4,3,0
1633,39,0,Travel_Frequently,711,Research & Development,4,Bachelor,Medical,Female,81,2,Manufacturing Director,High,Single,5042,3140,0,Yes,No,13,Excellent,Very High,10,2,1,9,2,3
1635,45,0,Travel_Rarely,1329,Research & Development,2,College,Other,Female,59,2,Manufacturing Director,Very High,Divorced,5770,5388,1,Yes,No,19,Excellent,Low,10,3,3,10,7,3
1638,38,0,Travel_Rarely,397,Research & Development,2,College,Medical,Female,54,3,Manufacturing Director,High,Married,7756,14199,3,Yes,Yes,19,Excellent,Very High,10,6,4,5,4,0
1639,35,1,Travel_Rarely,737,Sales,10,Bachelor,Medical,Male,55,3,Sales Executive,Low,Married,10306,21530,9,Yes,No,17,Excellent,High,15,3,3,13,12,6
1640,37,0,Travel_Rarely,1470,Research & Development,10,Bachelor,Medical,Female,71,1,Research Scientist,Medium,Married,3936,9953,1,Yes,No,11,Excellent,Low,8,2,1,8,4,7
1641,40,0,Travel_Rarely,448,Research & Development,16,Bachelor,Life Sciences,Female,84,3,Manufacturing Director,Very High,Single,7945,19948,6,Yes,Yes,15,Excellent,Very High,18,2,2,4,2,3
1642,44,0,Travel_Frequently,602,Human Resources,1,Doctor,Human Resources,Male,37,2,Human Resources,Very High,Married,5743,10503,4,Yes,Yes,11,Excellent,High,14,3,3,10,7,0
1644,48,0,Travel_Frequently,365,Research & Development,4,Doctor,Medical,Male,89,4,Manager,Very High,Married,15202,5602,2,Yes,No,25,Outstanding,Medium,23,3,3,2,2,2
1645,35,1,Travel_Rarely,763,Sales,15,College,Medical,Male,59,2,Sales Executive,Very High,Divorced,5440,22098,6,Yes,Yes,14,Excellent,Very High,7,2,2,2,2,2
1646,24,0,Travel_Frequently,567,Research & Development,2,Below College,Technical Degree,Female,32,1,Research Scientist,Very High,Single,3760,17218,1,Yes,Yes,13,Excellent,High,6,2,3,6,3,1
1647,27,0,Travel_Rarely,486,Research & Development,8,Bachelor,Medical,Female,86,1,Research Scientist,High,Married,3517,22490,7,Yes,No,17,Excellent,Low,5,0,3,3,2,0
1648,27,0,Travel_Frequently,591,Research & Development,2,Bachelor,Medical,Male,87,1,Research Scientist,Very High,Single,2580,6297,2,Yes,No,13,Excellent,High,6,0,2,4,2,1
1649,40,1,Travel_Rarely,1329,Research & Development,7,Bachelor,Life Sciences,Male,73,1,Laboratory Technician,Low,Single,2166,3339,3,Yes,Yes,14,Excellent,Medium,10,3,1,4,2,0
1650,29,0,Travel_Rarely,469,Sales,10,Bachelor,Medical,Male,42,2,Sales Executive,High,Single,5869,23413,9,Yes,No,11,Excellent,High,8,2,3,5,2,1
1651,36,0,Travel_Rarely,711,Research & Development,5,Master,Life Sciences,Female,42,3,Healthcare Representative,Low,Married,8008,22792,4,Yes,No,12,Excellent,High,9,6,3,3,2,0
1653,25,0,Travel_Frequently,772,Research & Development,2,Below College,Life Sciences,Male,77,2,Manufacturing Director,High,Divorced,5206,4973,1,Yes,No,17,Excellent,High,7,6,3,7,7,0
1654,39,0,Travel_Rarely,492,Research & Development,12,Bachelor,Medical,Male,66,2,Manufacturing Director,Medium,Married,5295,7693,4,Yes,No,21,Outstanding,High,7,3,3,5,4,1
1655,49,0,Travel_Rarely,301,Research & Development,22,Master,Other,Female,72,4,Research Director,Medium,Married,16413,3498,3,Yes,No,16,Excellent,Medium,27,2,3,4,2,1
1656,50,0,Travel_Rarely,813,Research & Development,17,Doctor,Life Sciences,Female,50,3,Research Director,Low,Divorced,13269,21981,5,Yes,No,15,Excellent,High,19,3,3,14,11,1
1657,20,0,Travel_Rarely,1141,Sales,2,Bachelor,Medical,Female,31,1,Sales Representative,High,Single,2783,13251,1,Yes,No,19,Excellent,Low,2,3,3,2,2,2
1658,34,0,Travel_Rarely,1130,Research & Development,3,Bachelor,Life Sciences,Female,66,2,Research Scientist,Medium,Divorced,5433,19332,1,Yes,No,12,Excellent,High,11,2,3,11,8,7
1659,36,0,Travel_Rarely,311,Research & Development,7,Bachelor,Life Sciences,Male,77,1,Laboratory Technician,Medium,Single,2013,10950,2,Yes,No,11,Excellent,High,15,4,3,4,3,1
1661,49,0,Travel_Rarely,465,Research & Development,6,Below College,Life Sciences,Female,41,4,Healthcare Representative,High,Married,13966,11652,2,Yes,Yes,19,Excellent,Medium,30,3,3,15,11,2
1662,36,0,Non-Travel,894,Research & Development,1,Master,Medical,Female,33,2,Manufacturing Director,High,Married,4374,15411,0,Yes,No,15,Excellent,High,4,6,3,3,2,1
1664,36,0,Travel_Rarely,1040,Research & Development,3,College,Life Sciences,Male,79,2,Healthcare Representative,Low,Divorced,6842,26308,6,Yes,No,20,Outstanding,Low,13,3,3,5,4,0
1665,54,0,Travel_Rarely,584,Research & Development,22,Doctor,Medical,Female,91,4,Manager,High,Married,17426,18685,3,Yes,No,25,Outstanding,High,36,6,3,10,8,4
1666,43,0,Travel_Rarely,1291,Research & Development,15,College,Life Sciences,Male,65,4,Research Director,High,Married,17603,3525,1,Yes,No,24,Outstanding,Low,14,3,3,14,10,6
1667,35,1,Travel_Frequently,880,Sales,12,Master,Other,Male,36,2,Sales Executive,Very High,Single,4581,10414,3,Yes,Yes,24,Outstanding,Low,13,2,4,11,9,6
1668,38,0,Travel_Frequently,1189,Research & Development,1,Bachelor,Life Sciences,Male,90,2,Research Scientist,Very High,Married,4735,9867,7,Yes,No,15,Excellent,Very High,19,4,4,13,11,2
1669,29,0,Travel_Rarely,991,Sales,5,Bachelor,Medical,Male,43,2,Sales Executive,Medium,Divorced,4187,3356,1,Yes,Yes,13,Excellent,Medium,10,3,2,10,0,0
1670,33,0,Travel_Rarely,392,Sales,2,Master,Medical,Male,93,2,Sales Executive,Very High,Divorced,5505,3921,1,Yes,No,14,Excellent,High,6,5,3,6,2,0
1671,32,0,Travel_Rarely,977,Research & Development,2,Bachelor,Medical,Male,45,2,Research Scientist,Medium,Divorced,5470,25518,0,Yes,No,13,Excellent,High,10,4,2,9,5,1
1673,31,0,Travel_Rarely,1112,Sales,5,Master,Life Sciences,Female,67,2,Sales Executive,Very High,Married,5476,22589,1,Yes,No,11,Excellent,Low,10,2,3,10,0,0
1674,49,0,Travel_Rarely,464,Research & Development,16,Bachelor,Medical,Female,74,1,Laboratory Technician,Low,Divorced,2587,24941,4,Yes,Yes,16,Excellent,Medium,17,2,2,2,2,2
1675,38,0,Travel_Frequently,148,Research & Development,2,Bachelor,Medical,Female,42,1,Laboratory Technician,Medium,Single,2440,23826,1,Yes,No,22,Outstanding,Medium,4,3,3,4,3,3
1676,47,0,Travel_Rarely,1225,Sales,2,Master,Life Sciences,Female,47,4,Manager,Medium,Divorced,15972,21086,6,Yes,No,14,Excellent,High,29,2,3,3,2,1
1677,49,0,Travel_Rarely,809,Research & Development,1,Bachelor,Life Sciences,Male,36,4,Manager,High,Single,15379,22384,4,Yes,No,14,Excellent,Low,23,2,3,8,7,0
1678,41,0,Travel_Rarely,1206,Sales,23,College,Life Sciences,Male,80,3,Sales Executive,High,Single,7082,11591,3,Yes,Yes,16,Excellent,Very High,21,2,3,2,0,0
1680,20,0,Travel_Rarely,727,Sales,9,Below College,Life Sciences,Male,54,1,Sales Representative,Low,Single,2728,21082,1,Yes,No,11,Excellent,Low,2,3,3,2,2,0
1681,33,0,Non-Travel,530,Sales,16,Bachelor,Life Sciences,Female,36,2,Sales Executive,Very High,Divorced,5368,16130,1,Yes,Yes,25,Outstanding,High,7,2,3,6,5,1
1682,36,0,Travel_Rarely,1351,Research & Development,26,Master,Life Sciences,Male,80,2,Healthcare Representative,High,Married,5347,7419,6,Yes,No,14,Excellent,Medium,10,2,2,3,2,0
1683,44,0,Travel_Rarely,528,Human Resources,1,Bachelor,Life Sciences,Female,44,1,Human Resources,Very High,Divorced,3195,4167,4,Yes,Yes,18,Excellent,Low,8,2,3,2,2,2
1684,23,1,Travel_Rarely,1320,Research & Development,8,Below College,Medical,Male,93,1,Laboratory Technician,High,Single,3989,20586,1,Yes,Yes,11,Excellent,Low,5,2,3,5,4,1
1687,38,0,Travel_Rarely,1495,Research & Development,4,College,Medical,Female,87,1,Laboratory Technician,High,Married,3306,26176,7,Yes,No,19,Excellent,Very High,7,5,2,0,0,0
1689,53,0,Travel_Rarely,1395,Research & Development,24,Master,Medical,Male,48,3,Healthcare Representative,Very High,Married,7005,3458,3,Yes,No,15,Excellent,High,11,2,3,4,3,1
1691,48,1,Travel_Frequently,708,Sales,7,College,Medical,Female,95,1,Sales Representative,High,Married,2655,11740,2,Yes,Yes,11,Excellent,High,19,3,3,9,7,7
1692,32,1,Travel_Rarely,1259,Research & Development,2,Master,Life Sciences,Male,95,1,Laboratory Technician,Medium,Single,1393,24852,1,Yes,No,12,Excellent,Low,1,2,3,1,0,0
1693,26,0,Non-Travel,786,Research & Development,7,Bachelor,Medical,Male,76,1,Laboratory Technician,Very High,Single,2570,11925,1,Yes,No,20,Outstanding,High,7,5,3,7,7,5
1694,55,0,Travel_Rarely,1441,Research & Development,22,Bachelor,Technical Degree,Male,94,1,Research Scientist,Medium,Divorced,3537,23737,5,Yes,No,12,Excellent,Very High,8,1,3,4,2,1
1696,34,0,Travel_Rarely,1157,Research & Development,5,College,Medical,Male,57,2,Laboratory Technician,Very High,Married,3986,11912,1,Yes,No,14,Excellent,High,15,3,4,15,10,4
1697,60,0,Travel_Rarely,370,Research & Development,1,Master,Medical,Male,92,3,Healthcare Representative,Very High,Divorced,10883,20467,3,Yes,No,20,Outstanding,High,19,2,4,1,0,0
1698,33,0,Travel_Rarely,267,Research & Development,21,Bachelor,Medical,Male,79,1,Laboratory Technician,Medium,Married,2028,13637,1,Yes,No,18,Excellent,Very High,14,6,3,14,11,2
1700,37,0,Travel_Frequently,1278,Sales,1,Master,Medical,Male,31,2,Sales Executive,Very High,Divorced,9525,7677,1,Yes,No,14,Excellent,High,6,2,2,6,3,1
1701,34,0,Travel_Rarely,678,Research & Development,19,Bachelor,Life Sciences,Female,35,1,Research Scientist,Very High,Married,2929,20338,1,Yes,No,12,Excellent,Medium,10,3,3,10,9,8
1702,23,1,Travel_Rarely,427,Sales,7,Bachelor,Life Sciences,Male,99,1,Sales Representative,Very High,Divorced,2275,25103,1,Yes,Yes,21,Outstanding,Medium,3,2,3,3,2,0
1703,44,0,Travel_Rarely,921,Research & Development,2,Bachelor,Life Sciences,Female,96,3,Healthcare Representative,Very High,Married,7879,14810,1,Yes,Yes,19,Excellent,Medium,9,2,3,8,7,6
1704,35,0,Travel_Frequently,146,Research & Development,2,Master,Medical,Male,79,1,Research Scientist,Very High,Single,4930,13970,0,Yes,Yes,14,Excellent,High,6,2,4,5,4,1
1706,43,0,Travel_Rarely,1179,Sales,2,Bachelor,Medical,Male,73,2,Sales Executive,Very High,Married,7847,6069,1,Yes,Yes,17,Excellent,Low,10,3,3,10,9,8
1707,24,0,Travel_Rarely,581,Research & Development,9,Bachelor,Medical,Male,62,1,Research Scientist,High,Married,4401,17616,1,Yes,No,16,Excellent,Very High,5,1,3,5,3,0
1708,41,0,Travel_Rarely,918,Sales,6,Bachelor,Marketing,Male,35,3,Sales Executive,High,Single,9241,15869,1,Yes,No,12,Excellent,Medium,10,3,3,10,8,8
1709,29,0,Travel_Rarely,1082,Research & Development,9,Master,Medical,Female,43,1,Laboratory Technician,High,Married,2974,25412,9,Yes,No,17,Excellent,High,9,2,3,5,3,1
1710,36,0,Travel_Rarely,530,Sales,2,Master,Life Sciences,Female,51,2,Sales Representative,Very High,Single,4502,7439,3,Yes,No,15,Excellent,High,17,2,2,13,7,6
1712,45,0,Non-Travel,1238,Research & Development,1,Below College,Life Sciences,Male,74,3,Healthcare Representative,High,Married,10748,3395,3,Yes,No,23,Outstanding,Very High,25,3,2,23,15,14
1714,24,1,Travel_Rarely,240,Human Resources,22,Below College,Human Resources,Male,58,1,Human Resources,High,Married,1555,11585,1,Yes,No,11,Excellent,High,1,2,3,1,0,0
1716,47,1,Travel_Frequently,1093,Sales,9,Bachelor,Life Sciences,Male,82,4,Sales Executive,High,Married,12936,24164,7,Yes,No,11,Excellent,High,25,3,1,23,5,14
1718,26,0,Travel_Rarely,390,Research & Development,17,Master,Medical,Male,62,1,Laboratory Technician,High,Married,2305,6217,1,Yes,No,15,Excellent,High,3,3,4,3,2,0
1719,45,0,Travel_Rarely,1005,Research & Development,28,College,Technical Degree,Female,48,4,Research Director,Medium,Single,16704,17119,1,Yes,No,11,Excellent,High,21,2,3,21,6,8
1720,32,0,Travel_Frequently,585,Research & Development,10,Bachelor,Life Sciences,Male,56,1,Research Scientist,High,Married,3433,17360,6,Yes,No,13,Excellent,Low,10,3,2,5,2,1
1721,31,0,Travel_Rarely,741,Research & Development,2,Master,Life Sciences,Male,69,1,Laboratory Technician,High,Married,3477,18103,1,Yes,No,14,Excellent,Very High,6,2,4,5,2,0
1722,41,0,Non-Travel,552,Human Resources,4,Bachelor,Human Resources,Male,60,2,Human Resources,Medium,Married,6430,20794,6,Yes,No,19,Excellent,Medium,10,4,3,3,2,1
1724,40,0,Travel_Rarely,369,Research & Development,8,College,Life Sciences,Female,92,2,Manufacturing Director,Low,Married,6516,5041,2,Yes,Yes,16,Excellent,Medium,18,3,3,1,0,0
1725,24,0,Travel_Rarely,506,Research & Development,29,Below College,Medical,Male,91,1,Laboratory Technician,Low,Divorced,3907,3622,1,Yes,No,13,Excellent,Medium,6,2,4,6,2,1
1727,46,0,Travel_Rarely,717,Research & Development,13,Master,Life Sciences,Male,34,2,Healthcare Representative,Medium,Single,5562,9697,6,Yes,No,14,Excellent,Very High,19,3,3,10,7,0
1728,35,0,Travel_Rarely,1370,Research & Development,27,Master,Life Sciences,Male,49,2,Manufacturing Director,High,Married,6883,5151,2,Yes,No,16,Excellent,Medium,17,3,3,7,7,0
1729,30,0,Travel_Rarely,793,Research & Development,16,Below College,Life Sciences,Male,33,1,Research Scientist,Very High,Married,2862,3811,1,Yes,No,12,Excellent,Medium,10,2,2,10,0,0
1731,47,0,Non-Travel,543,Sales,2,Master,Marketing,Male,87,2,Sales Executive,Medium,Married,4978,3536,7,Yes,No,11,Excellent,Very High,4,3,1,1,0,0
1732,46,0,Travel_Rarely,1277,Sales,2,Bachelor,Life Sciences,Male,74,3,Sales Executive,Very High,Divorced,10368,5596,4,Yes,Yes,12,Excellent,Medium,13,5,2,10,6,0
1733,36,1,Travel_Rarely,1456,Sales,13,Doctor,Marketing,Male,96,2,Sales Executive,Low,Divorced,6134,8658,5,Yes,Yes,13,Excellent,Medium,16,3,3,2,2,2
1734,32,1,Travel_Rarely,964,Sales,1,College,Life Sciences,Male,34,2,Sales Executive,Medium,Single,6735,12147,6,Yes,No,15,Excellent,Medium,10,2,3,0,0,0
1735,23,0,Travel_Rarely,160,Research & Development,4,Below College,Medical,Female,51,1,Laboratory Technician,Medium,Single,3295,12862,1,Yes,No,13,Excellent,High,3,3,1,3,2,1
1736,31,0,Travel_Frequently,163,Research & Development,24,Below College,Technical Degree,Female,30,2,Manufacturing Director,Very High,Single,5238,6670,2,Yes,No,20,Outstanding,Very High,9,3,2,5,4,1
1737,39,0,Non-Travel,792,Research & Development,1,Bachelor,Life Sciences,Male,77,2,Laboratory Technician,Very High,Married,6472,8989,1,Yes,Yes,15,Excellent,Very High,9,2,3,9,8,5
1739,32,0,Travel_Rarely,371,Sales,19,Bachelor,Life Sciences,Male,80,3,Sales Executive,High,Married,9610,3840,3,Yes,No,13,Excellent,High,10,2,1,4,3,0
1740,40,0,Travel_Rarely,611,Sales,7,Master,Medical,Male,88,5,Manager,Medium,Single,19833,4349,1,Yes,No,14,Excellent,Medium,21,3,2,21,8,12
1744,45,0,Travel_Rarely,176,Human Resources,4,Bachelor,Life Sciences,Female,56,3,Human Resources,High,Married,9756,6595,4,Yes,No,21,Outstanding,High,9,2,4,5,0,0
1745,30,0,Travel_Frequently,1312,Research & Development,2,Master,Technical Degree,Female,78,1,Research Scientist,Low,Single,4968,26427,0,Yes,No,16,Excellent,Very High,10,2,3,9,7,0
1746,24,0,Travel_Frequently,897,Human Resources,10,Bachelor,Medical,Male,59,1,Human Resources,Very High,Married,2145,2097,0,Yes,No,14,Excellent,Very High,3,2,3,2,2,2
1747,30,1,Travel_Frequently,600,Human Resources,8,Bachelor,Human Resources,Female,66,1,Human Resources,Very High,Divorced,2180,9732,6,Yes,No,11,Excellent,High,6,0,2,4,2,1
1749,31,0,Travel_Rarely,1003,Sales,5,Bachelor,Technical Degree,Male,51,2,Sales Executive,High,Married,8346,20943,1,Yes,No,19,Excellent,High,6,3,3,5,2,0
1751,27,0,Travel_Rarely,1054,Research & Development,8,Bachelor,Medical,Female,67,1,Research Scientist,Very High,Single,3445,6152,1,Yes,No,11,Excellent,High,6,5,2,6,2,1
1752,29,1,Travel_Rarely,428,Sales,9,Bachelor,Marketing,Female,52,1,Sales Representative,Medium,Single,2760,14630,1,Yes,No,13,Excellent,High,2,3,3,2,2,2
1753,29,0,Travel_Frequently,461,Research & Development,1,Bachelor,Life Sciences,Male,70,2,Healthcare Representative,High,Single,6294,23060,8,Yes,Yes,12,Excellent,Very High,10,5,4,3,2,0
1754,30,0,Travel_Rarely,979,Sales,15,College,Marketing,Male,94,3,Sales Executive,Low,Divorced,7140,3088,2,Yes,No,11,Excellent,Low,12,2,3,7,7,1
1755,34,0,Travel_Rarely,181,Research & Development,2,Master,Medical,Male,97,1,Research Scientist,Very High,Married,2932,5586,0,Yes,Yes,14,Excellent,Low,6,3,3,5,0,1
1756,33,0,Non-Travel,1283,Sales,2,Bachelor,Marketing,Female,62,2,Sales Executive,Medium,Single,5147,10697,8,Yes,No,15,Excellent,Very High,13,2,2,11,7,1
1757,49,0,Travel_Rarely,1313,Sales,11,Master,Marketing,Female,80,2,Sales Executive,Very High,Single,4507,8191,3,Yes,No,12,Excellent,High,8,1,4,5,1,0
1758,33,1,Travel_Rarely,211,Sales,16,Bachelor,Life Sciences,Female,74,3,Sales Executive,Low,Single,8564,10092,2,Yes,Yes,20,Outstanding,High,11,2,2,0,0,0
1760,38,0,Travel_Frequently,594,Research & Development,2,College,Medical,Female,75,1,Laboratory Technician,Medium,Married,2468,15963,4,Yes,No,14,Excellent,Medium,9,4,2,6,1,0
1761,31,1,Travel_Rarely,1079,Sales,16,Master,Marketing,Male,70,3,Sales Executive,High,Married,8161,19002,2,Yes,No,13,Excellent,Low,10,2,3,1,0,0
1762,29,0,Travel_Rarely,590,Research & Development,4,Bachelor,Technical Degree,Female,91,1,Research Scientist,Low,Divorced,2109,10007,1,Yes,No,13,Excellent,High,1,2,3,1,0,0
1763,30,0,Travel_Rarely,305,Research & Development,16,Bachelor,Life Sciences,Male,58,2,Healthcare Representative,High,Married,5294,9128,3,Yes,No,16,Excellent,High,10,3,3,7,0,1
1764,32,0,Non-Travel,953,Research & Development,5,Master,Technical Degree,Male,65,1,Research Scientist,Medium,Single,2718,17674,2,Yes,No,14,Excellent,Medium,12,3,3,7,7,0
1766,38,0,Travel_Rarely,833,Research & Development,18,Bachelor,Medical,Male,60,2,Healthcare Representative,Very High,Married,5811,24539,3,Yes,Yes,16,Excellent,High,15,2,3,1,0,1
1767,43,1,Travel_Frequently,807,Research & Development,17,Bachelor,Technical Degree,Male,38,1,Research Scientist,High,Married,2437,15587,9,Yes,Yes,16,Excellent,Very High,6,4,3,1,0,0
1768,42,0,Travel_Rarely,855,Research & Development,12,Bachelor,Medical,Male,57,1,Laboratory Technician,Medium,Divorced,2766,8952,8,Yes,No,22,Outstanding,Medium,7,6,2,5,3,0
1770,55,0,Travel_Rarely,478,Research & Development,2,Bachelor,Medical,Male,60,5,Research Director,Low,Married,19038,19805,8,Yes,No,12,Excellent,Medium,34,2,3,1,0,0
1771,33,0,Non-Travel,775,Research & Development,4,Bachelor,Technical Degree,Male,90,2,Research Scientist,Medium,Divorced,3055,6194,5,Yes,No,15,Excellent,Very High,11,2,2,9,8,1
1772,41,0,Travel_Rarely,548,Research & Development,9,Master,Life Sciences,Male,94,1,Laboratory Technician,Low,Divorced,2289,20520,1,Yes,No,20,Outstanding,Medium,5,2,3,5,3,0
1774,34,0,Non-Travel,1375,Sales,10,Bachelor,Life Sciences,Male,87,2,Sales Executive,High,Divorced,4001,12313,1,Yes,Yes,14,Excellent,High,15,3,3,15,14,0
1775,53,0,Non-Travel,661,Research & Development,1,Master,Medical,Female,60,4,Manufacturing Director,High,Married,12965,22308,4,Yes,Yes,20,Outstanding,Very High,27,2,2,3,2,0
1778,43,0,Travel_Rarely,244,Human Resources,2,Bachelor,Life Sciences,Male,97,1,Human Resources,Very High,Single,3539,5033,0,Yes,No,13,Excellent,Medium,10,5,3,9,7,1
1779,34,0,Travel_Rarely,511,Sales,3,College,Life Sciences,Female,32,2,Sales Executive,Very High,Single,6029,25353,5,Yes,No,12,Excellent,Low,6,3,3,2,2,2
1780,21,1,Travel_Rarely,337,Sales,7,Below College,Marketing,Male,31,1,Sales Representative,Medium,Single,2679,4567,1,Yes,No,13,Excellent,Medium,1,3,3,1,0,1
1782,38,0,Travel_Rarely,1153,Research & Development,6,College,Other,Female,40,1,Laboratory Technician,High,Married,3702,16376,1,Yes,No,11,Excellent,Medium,5,3,3,5,4,0
1783,22,1,Travel_Rarely,1294,Research & Development,8,Below College,Medical,Female,79,1,Laboratory Technician,Low,Married,2398,15999,1,Yes,Yes,17,Excellent,High,1,6,3,1,0,0
1784,31,0,Travel_Rarely,196,Sales,29,Master,Marketing,Female,91,2,Sales Executive,Very High,Married,5468,13402,1,Yes,No,14,Excellent,Low,13,3,3,12,7,5
1786,51,0,Travel_Rarely,942,Research & Development,3,Bachelor,Technical Degree,Female,53,3,Manager,High,Married,13116,22984,2,Yes,No,11,Excellent,Very High,15,2,3,2,2,2
